ID,Capture_Number
CaptureSite_0_201901,7
CaptureSite_0_201902,1
CaptureSite_0_201903,5
CaptureSite_0_201904,2
CaptureSite_0_201905,3
CaptureSite_0_201906,8
CaptureSite_0_201907,6
CaptureSite_0_201908,4
CaptureSite_0_201909,6
CaptureSite_0_201910,5
CaptureSite_0_201911,2
CaptureSite_0_201912,3
CaptureSite_0_201913,4
CaptureSite_0_201914,7
CaptureSite_0_201915,1
CaptureSite_0_201916,0
CaptureSite_0_201917,1
CaptureSite_0_201918,1
CaptureSite_0_201919,2
CaptureSite_0_201920,3
CaptureSite_0_201921,9
CaptureSite_0_201922,1
CaptureSite_0_201923,2
CaptureSite_0_201924,6
CaptureSite_0_201925,2
CaptureSite_0_201926,9
CaptureSite_0_201927,4
CaptureSite_0_201928,2
CaptureSite_0_201929,9
CaptureSite_0_201930,1
CaptureSite_0_201931,4
CaptureSite_0_201932,6
CaptureSite_0_201933,5
CaptureSite_0_201934,1
CaptureSite_0_201935,4
CaptureSite_0_201936,9
CaptureSite_0_201937,6
CaptureSite_0_201938,7
CaptureSite_0_201939,1
CaptureSite_0_201940,8
CaptureSite_0_201941,0
CaptureSite_0_201942,3
CaptureSite_0_201943,6
CaptureSite_0_201944,8
CaptureSite_1_201901,8
CaptureSite_1_201902,5
CaptureSite_1_201903,6
CaptureSite_1_201904,0
CaptureSite_1_201905,1
CaptureSite_1_201906,7
CaptureSite_1_201907,9
CaptureSite_1_201908,7
CaptureSite_1_201909,9
CaptureSite_1_201910,2
CaptureSite_1_201911,8
CaptureSite_1_201912,9
CaptureSite_1_201913,8
CaptureSite_1_201914,0
CaptureSite_1_201915,8
CaptureSite_1_201916,6
CaptureSite_1_201917,0
CaptureSite_1_201918,2
CaptureSite_1_201919,4
CaptureSite_1_201920,9
CaptureSite_1_201921,8
CaptureSite_1_201922,6
CaptureSite_1_201923,0
CaptureSite_1_201924,8
CaptureSite_1_201925,6
CaptureSite_1_201926,3
CaptureSite_1_201927,6
CaptureSite_1_201928,3
CaptureSite_1_201929,2
CaptureSite_1_201930,0
CaptureSite_1_201931,3
CaptureSite_1_201932,7
CaptureSite_1_201933,9
CaptureSite_1_201934,3
CaptureSite_1_201935,1
CaptureSite_1_201936,0
CaptureSite_1_201937,4
CaptureSite_1_201938,2
CaptureSite_1_201939,3
CaptureSite_1_201940,6
CaptureSite_1_201941,0
CaptureSite_1_201942,6
CaptureSite_1_201943,5
CaptureSite_1_201944,3
CaptureSite_10_201901,6
CaptureSite_10_201902,8
CaptureSite_10_201903,2
CaptureSite_10_201904,5
CaptureSite_10_201905,6
CaptureSite_10_201906,0
CaptureSite_10_201907,8
CaptureSite_10_201908,0
CaptureSite_10_201909,2
CaptureSite_10_201910,0
CaptureSite_10_201911,9
CaptureSite_10_201912,8
CaptureSite_10_201913,5
CaptureSite_10_201914,2
CaptureSite_10_201915,0
CaptureSite_10_201916,6
CaptureSite_10_201917,8
CaptureSite_10_201918,8
CaptureSite_10_201919,7
CaptureSite_10_201920,3
CaptureSite_10_201921,3
CaptureSite_10_201922,0
CaptureSite_10_201923,9
CaptureSite_10_201924,1
CaptureSite_10_201925,9
CaptureSite_10_201926,2
CaptureSite_10_201927,5
CaptureSite_10_201928,3
CaptureSite_10_201929,2
CaptureSite_10_201930,0
CaptureSite_10_201931,6
CaptureSite_10_201932,0
CaptureSite_10_201933,6
CaptureSite_10_201934,2
CaptureSite_10_201935,5
CaptureSite_10_201936,7
CaptureSite_10_201937,6
CaptureSite_10_201938,2
CaptureSite_10_201939,9
CaptureSite_10_201940,6
CaptureSite_10_201941,9
CaptureSite_10_201942,5
CaptureSite_10_201943,7
CaptureSite_10_201944,7
CaptureSite_11_201901,6
CaptureSite_11_201902,7
CaptureSite_11_201903,1
CaptureSite_11_201904,0
CaptureSite_11_201905,9
CaptureSite_11_201906,9
CaptureSite_11_201907,2
CaptureSite_11_201908,4
CaptureSite_11_201909,3
CaptureSite_11_201910,6
CaptureSite_11_201911,5
CaptureSite_11_201912,7
CaptureSite_11_201913,5
CaptureSite_11_201914,2
CaptureSite_11_201915,0
CaptureSite_11_201916,6
CaptureSite_11_201917,9
CaptureSite_11_201918,4
CaptureSite_11_201919,2
CaptureSite_11_201920,6
CaptureSite_11_201921,2
CaptureSite_11_201922,2
CaptureSite_11_201923,1
CaptureSite_11_201924,2
CaptureSite_11_201925,5
CaptureSite_11_201926,2
CaptureSite_11_201927,3
CaptureSite_11_201928,9
CaptureSite_11_201929,8
CaptureSite_11_201930,4
CaptureSite_11_201931,8
CaptureSite_11_201932,0
CaptureSite_11_201933,6
CaptureSite_11_201934,0
CaptureSite_11_201935,3
CaptureSite_11_201936,7
CaptureSite_11_201937,0
CaptureSite_11_201938,3
CaptureSite_11_201939,4
CaptureSite_11_201940,2
CaptureSite_11_201941,4
CaptureSite_11_201942,8
CaptureSite_11_201943,2
CaptureSite_11_201944,5
CaptureSite_12_201901,6
CaptureSite_12_201902,4
CaptureSite_12_201903,0
CaptureSite_12_201904,0
CaptureSite_12_201905,2
CaptureSite_12_201906,8
